_id,id,餐廳名稱,餐廳網站,區域排名,餐廳地點,餐廳電話,餐廳價位,整體評分,食物,服務,實惠,氛圍,餐廳類型,亞洲料理,中式料理,台灣小吃,台菜,日式料理,咖啡廳,義式料理,美式料理,海鮮,酒吧,多國料理,牛排,提供素食選擇,燒烤,提供純素選擇,壽司,泰式料理,法式料理,烤肉,歐式料理,韓式料理
610bfe107b93cc4548c3afa9,0,0315串燒,https://www.tripadvisor.com.tw/Restaurant_Review-g13806900-d5484641-Reviews-0315_Chuanshao-Songshan_Taipei.html,,台灣 松山台北 松山区松河街214号,None,None,0 則評論,None,None,None,None,中式料理/ ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610bfe107b93cc4548c3afab,2,1+1創意廚房,https://www.tripadvisor.com.tw/Restaurant_Review-g13806900-d14790473-Reviews-One_Plus_One-Songshan_Taipei.html,松山排名第 #769 的餐廳，共 922 名,105 台灣 松山台北 南京东路五段66巷2弄5号,+886 2 2767 4522,None,4.0,None,None,None,None,義式料理/ ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610bfe107b93cc4548c3afac,3,1010湘 - 天母三越店,https://www.tripadvisor.com.tw/Restaurant_Review-g13806879-d6133074-Reviews-1010_Hunan_Cuisine_Tianmu_Mitsukoshi_Store-Shilin_Taipei.html,士林排名第 #15 的餐廳，共 669 名,111 台灣 士林台北 天母东路68号 新光三越天母店A栋7楼,+886 2 2875 2955,$$ - $$$,4.5,4.5,4.5,4.0,4.5,泰式料理/ ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
610bfe107b93cc4548c3afad,4,1010湘-信義誠品店,https://www.tripadvisor.com.tw/Restaurant_Review-g13808515-d6133064-Reviews-1010_Hunan_Cuisine_Sinyi_Eslite_Store-Xinyi_District_Taipei.html,信義區排名第 #23 的餐廳，共 936 名,110 台灣 信義區台北 松高路11号 6f,+886 2 2722 0583,$$ - $$$,4.5,4.5,4.5,4.0,4.0,中式料理/提供純素選擇/ ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
610bfe107b93cc4548c3afae,5,1010湘-南港中信店,https://www.tripadvisor.com.tw/Restaurant_Review-g13806753-d7621959-Reviews-1010_Hunan_Cuisine_Nangang_CTBC_Financial_Park_Store-Nangang_Taipei.html,南港排名第 #7 的餐廳，共 151 名,115 台灣 南港台北 经贸二路186-1号 C栋1楼,+886 2 2782 0866,$$ - $$$,4.5,4.5,4.5,3.5,4.5,中式料理/ ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610bfe107b93cc4548c3afaf,6,1010湘-西湖店,https://www.tripadvisor.com.tw/Restaurant_Review-g13806767-d8290925-Reviews-1010_Hunan_Cuisine_Xihu_Store-Neihu_Taipei.html,內湖排名第 #28 的餐廳，共 412 名,114 台灣 內湖台北 内湖路一段242号 1楼,+886 2 2659 0123,$$ - $$$,4.0,4.0,4.0,3.5,4.0,中式料理/ ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610bfe107b93cc4548c3afb0,7,1010湘辣料理-復北店,https://www.tripadvisor.com.tw/Restaurant_Review-g13806900-d2535551-Reviews-1010_Hunan_Cuisine_Fubei_Store-Songshan_Taipei.html,松山排名第 #32 的餐廳，共 922 名,105 台灣 松山台北 复兴北路301号,+886 2 2713 6345,$$ - $$$,4.0,4.0,4.5,3.5,4.0,中式料理/提供純素選擇/ ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
610bfe107b93cc4548c3afb1,8,101隨意吧,https://www.tripadvisor.com.tw/Restaurant_Review-g13808515-d7189136-Reviews-Sui_Business_Lounge-Xinyi_District_Taipei.html,信義區排名第 #40 的餐廳，共 936 名,110 台灣 信義區台北 信义五段7号 台北101大楼36楼,+886 2 8101 6336,$$ - $$$,4.0,4.0,4.0,3.5,4.5,酒吧/咖啡廳/ ,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
610bfe107b93cc4548c3afb2,9,108咖啡廚坊,https://www.tripadvisor.com.tw/Restaurant_Review-g13808853-d6182560-Reviews-108_Cafe-Zhongzheng_District_Taipei.html,,"台灣 中正區台北 No. 1, Ln. 108, Sec. 1, Nanchang Rd., Zhongzheng Dist",+886 2 2393 2439,None,0 則評論,None,None,None,None,咖啡廳/ ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610bfe107b93cc4548c3afb3,10,11 Cafe,https://www.tripadvisor.com.tw/Restaurant_Review-g13808515-d12829142-Reviews-11_Cafe-Xinyi_District_Taipei.html,信義區排名第 #199 的餐廳，共 936 名,110 台灣 信義區台北 信义区忠孝东路四段553巷12号,+886 2 8787 5891,None,5.0,None,None,None,None,義式料理/披薩/咖啡廳/異國風味/ ,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610bfe107b93cc4548c3afb5,12,11 Social,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d9708560-Reviews-11_Social-Da_an_Taipei.html,"大安排名第 #283 的餐廳，共 2,036 名","台灣 大安台北 No. 11, Sec 4, Lane 151, Ren Ai Road",88627527585,$$ - $$$,4.5,5.0,5.0,4.5,None,法式料理/歐式料理/英式料理/ ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
610bfe107b93cc4548c3afb7,14,12 Basket,https://www.tripadvisor.com.tw/Restaurant_Review-g13808515-d8459001-Reviews-12_Basket-Xinyi_District_Taipei.html,信義區排名第 #259 的餐廳，共 936 名,110 台灣 信義區台北 信义区逸仙路50巷28号 Yixian,+886 2 2345 5330,None,4.5,4.5,4.5,3.5,3.5,亞洲料理/ ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610bfe107b93cc4548c3afba,17,12MINI經典獨享鍋-內湖瑞光店,https://www.tripadvisor.com.tw/Restaurant_Review-g13806767-d19110257-Reviews-12MINI_Neihu_Ruiguang-Neihu_Taipei.html,內湖排名第 #165 的餐廳，共 412 名,114 台灣 內湖台北 瑞光路517号 1楼,+886 2 2656 1312,None,3.5,None,None,None,None,中式料理/ ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610bfe107b93cc4548c3afbb,18,12籃粥火鍋 逸仙店,https://www.tripadvisor.com.tw/Restaurant_Review-g13808515-d13215740-Reviews-12_Lan_Zhou_Hotpot_Yi_Xian_Branch-Xinyi_District_Taipei.html,信義區排名第 #435 的餐廳，共 936 名,110 台灣 信義區台北 信义区逸仙路50巷28号,+886 2 2345 5330,None,4.5,None,None,None,None,中式料理/ ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610bfe107b93cc4548c3afbc,19,12顆數咖啡藝術會館,https://www.tripadvisor.com.tw/Restaurant_Review-g13806900-d6133086-Reviews-12_Ke_Shu_Cafe_Arts_Club_House-Songshan_Taipei.html,,"台灣 松山台北 No. 1, Ln. 110, Sec. 3, Minsheng E. Rd., Songshan Dist",+886 2 2717 1321,None,0 則評論,None,None,None,None,咖啡廳/ ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610bfe107b93cc4548c3afbd,20,13East Craft Beer Restaurant,https://www.tripadvisor.com.tw/Restaurant_Review-g13808515-d11679773-Reviews-13East_Craft_Beer_Restaurant-Xinyi_District_Taipei.html,信義區排名第 #561 的餐廳，共 936 名,"110 台灣 信義區台北 Chung Hsiao East Road, Lane 553, Section 6, Lane 6 Building 1",+886 2 2766 5913,$$ - $$$,5.0,None,None,None,None,美式料理/多國料理/ ,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
610bfe107b93cc4548c3afbf,22,14號公園麻油雞,https://www.tripadvisor.com.tw/Restaurant_Review-g13808671-d6133090-Reviews-Park_14_Sesame_Oil_Chicken-Zhongshan_District_Taipei.html,"中山區排名第 #1,272 的餐廳，共 1,653 名","104 台灣 中山區台北 No. 7, Ln. 259, Linsen N. Rd., Zhongzheng Dist",+886 2 2563 1067,None,4.0,None,None,None,None,亞洲料理/台灣小吃/台菜/ ,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610bfe107b93cc4548c3afc0,23,1516 Bistro Essen Und Trinken,https://www.tripadvisor.com.tw/Restaurant_Review-g13808671-d6152710-Reviews-1516_Bistro_Essen_Und_Trinken-Zhongshan_District_Taipei.html,"中山區排名第 #426 的餐廳，共 1,653 名",104 台灣 中山區台北 复兴南路一段30巷4号1楼,+886 2 2740 5586,$$ - $$$,4.5,4.5,4.5,4.0,None,義式料理/法式料理/德國料理/ ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
610bfe107b93cc4548c3afc1,24,168快餐店,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d6133057-Reviews-168_Boxed_Lunch_Express-Da_an_Taipei.html,"大安排名第 #1,368 的餐廳，共 2,036 名","台灣 大安台北 No. 96, Fuyang St., Daan Dist",+886 2 2733 6924,None,5.0,None,None,None,None,亞洲料理/台灣小吃/台菜/ ,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
